code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
0008346800049	Advanced nutrition 100 calorie snacks drizzled crisps	1494	10.71	10.71	71.43	25	357	8.93	1.34	0.536	17.9	0	17
0008346800056	Drizzled crisps	1494	10.71	10.71	71.43	21.43	357	8.93	1.34	0.536	17.9	0	16
0008346800087	Snack bites	1820	8.7	21.74	60.87	21.74	435	19.57	1.0325	0.413	21.7	0	18
0008346800094	100 calorie snacks snack bites	1820	8.7	21.74	60.87	21.74	435	19.57	1.0325	0.413	21.7	0	18
0008346802012	Advanced nutrition 100 calorie snacks baked chips	1494	7.14	8.93	71.43	10.71	357	0	2.2325	0.893	17.9	0	10
0008346802029	Sour cream & onion flavored advanced nutrition baked chips snack	1494	7.14	8.93	67.86	3.57	357	0	2.3225	0.929	17.9	0	9
0008346802036	Slimfast, Baked Chips, Mesquite Bbq	1494	7.14	8.93	71.43	10.71	357	0	2.2325	0.893	17.9	0	10
0008346802043	Slimfast, Advanced Nutrition Baked Chips, Sour Cream & Onion`	1494	7.14	8.93	67.86	3.57	357	0	2.3225	0.929	17.9	0	9
0008346802500	Mesquite bbq advanced nutrition baked chips	1494	7.14	8.93	71.43	10.71	357	0	2.2325	0.893	17.9	0	10
0008346802517	Sour cream & onion baked chips snack	1494	7.14	8.93	67.86	3.57	357	0	2.3225	0.929	17.9	0	9
0008346802524	Cinnamon bun swirl flavored advanced nutrition drizzled crisps	1494	10.71	10.71	71.43	25	357	8.93	1.34	0.536	17.9	0	17
0008346802531	Slim Fast, Drizzled Crisps Snack Bars, S'Mores	1494	10.71	10.71	71.43	21.43	357	8.93	1.34	0.536	17.9	0	16
0008346804016	Peanut butter chocolate chip meal replacement cookie	1372	14.93	11.94	52.24	11.94	328	2.99	0.71	0.284	7.5	6	
0008346804030	Double chocolate chip cookie	1414	15.38	10.77	50.77	12.31	338	6.15	0.8075	0.323	7.7	0	
0008346804092	Chocolatey peanut butter pie meal replacement bars	1674	33.33	13.33	40	2.22	400	7.78	0.5275	0.211	11.1	0	8
0008346804108	Chocolate lay Crispy Cookie Dough Bar	753	15	7	17	1	180	35			5		
0008346804115	Chocolatey Crispy Cookie Dough Meal Bars	1674	33.33	15.56	37.78	2.22	400	7.78	0.61	0.244	11.1	0	8
