code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
0008346874897	Chocolate mint Cup	2215	5.8823529411765	47.058823529412	41.176470588235	0	529.41176470588	35.294117647059	0	0			
0008346874903	Fat Bomb Snack Cup	2215	5.8823529411765	47.058823529412	41.176470588235	0	529.41176470588	35.294117647059	0.29411764705883	0.117647058823532			
0008346874934	Slimfast keto	1674	10	30	50	5	400	15	0.1875	0.075			
0008346874941	Keto fat bomb caramel nut clusters snacks	1674	10	30	50	5	400	15	0.1875	0.075	6	0	
0008346874972	Fat bomb	377	1	8	8	0	90	5	0	0			
0008346874989	Keto Fat Bomb	2215	5.8823529411765	47.058823529412	47.058823529412	0	529.41176470588	29.411764705882	0.14705882352941	0.058823529411764	23.529411764706		
0008346875054	Fat bomb	1723	5.8823529411765	41.176470588235	47.058823529412	0	411.76470588235	26.470588235294	0.14705882352941	0.058823529411764			
0008346875061	Fat bombs	1723	5.8823529411765	41.176470588235	47.058823529412	17.647058823529	411.76470588235	26.470588235294	0.14705882352941	0.058823529411764	23.529411764706		
0008346875085	Slimfast keto fat bomb	2215	5.8823529411765	47.058823529412	47.058823529412	11.764705882353	529.41176470588	26.470588235294	0.29411764705883	0.117647058823532	23.529411764706		
0008346875092	SlimFat Keto Fat bomb snack cup	377	1	8	8	2	90	4.5			4		
0008346875139	Keto Fat Bomb	1953	13.333333333333	40	46.666666666667	6.6666666666667	466.66666666667	20					
0008346875146	Fat bomb snack square	1953	13.333333333333	40	46.666666666667	13.333333333333	466.66666666667	20	0.083375	0.03335	20	0	
0008346875207	Keto Fat Bomb Shot Salted Caramel Crème	1415	0	33.818058843422	10.145417653027	0	338.18058843422	33.818058843422	0.29590801487995	0.11836320595198	0		
0008346875603	Slimfast	2391	42.857142857143	42.857142857143	7.1428571428571	0	571.42857142857	28.571428571429	3.75	1.5	0		
0008346875610	Fat Bomb Snack crisps	2391	42.8571	42.8571	7.1429	0	571.4286	28.5714	3.75	1.5			
0008346875665	Keto Fat Bomb	1674	5	30	55	10	400	17.5	0.75	0.3			
