code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
00000000000000225	jeunes pousses												
0000000000000207025004	Andrè	690	1.5	2	65	12.6	165	2			3		
00000000000003429145	L.casei		2.7	1.4	9.8	9.8		0.9	0.1	0.04		0	
00000000000026772226	Skyr	238	10	0.2	3.9	3.9	57	0.1	0.09	0.036			-5
0000000000017	Vitória crackers	1569	7.8	7	70.1	15	375	3.08	1.4	0.56			
0000000000031	Cacao												
000000000003327986	Filetes de pollo empanado	685.8	15.3	1.9			163.9	1	1.1	0.44			
000000000004128579	Burger Meat Pollo	812	18	11	5.7	0.05	194	3.9					
000000000004622327	Hamburguesas de ternera 100%	3661	15.7	15.1	2.6	1	874.9	6.1	2.1	0.84			
00000000001	hyde icon											0	
0000000000100	moutarde au moût de raisin	936	5.1	8.2	29	22		2.2	4.6	1.84	0	0	18
0000000000123	Sauce Sweety chili 0%	88	0.2	0	4.8	0.4	21	0	2.04	0.816			
0000000000178	Mini coco	251	2	3	10	3	60	1	1.15	0.46			
0000000000208	Pistou d'ail des ours												
0000000000284	Pain maïs												
0000000000291	Mendiants												
000000000054	Limonade artisanale a la rose												
000000000075	Sachet calisson								0	0			
000000000080	Pur jus de pomme	264	0.2	0	15.5	15.5	63	0	0	0			9
000000000088	Pate d'amande								0	0			
0000000000949	Salade de carottes râpées	134	0.9	0.3	5.3	3.9	32	0.1	0.42	0.168			1
0000000000970	Fromage blanc aux myrtilles	540	4.4	4.9	16.3	16.3	129	3.1	0.25	0.1			
0000000001001													
0000000001007	Vainilla												
000000000112	Iogurt de cabra	305	3.3	4.3	4.3	1.6	73	3	0.1	0.04			
0000000001137	Baguette parisien	929	11.7	3.3	38.4	1.8	222	2.1	0.678	0.2712			
000000000114	Chocolate n 3	2415	7.1	44	30	27		28	0.025	0.01			
0000000001151	&quot;Baguette Lyonnais&quot;	1213	12.5	9.4	41	2	290	4.5	0.9	0.36			
0000000001199	Solène céréales poulet	916	9.7	5.9	30.3	1.7	219	0.5	0.464	0.1856	2.8	112.2	
0000000001281	Tarte noix de coco	1594	4.6	22	27.3	21.9	381	15.5	0.1	0.04	4.4		14
000000000129	Caramel au beurre salé	1962	0.8	25	58	44	469	4.9	0.5	0.2			
0000000001311	Salade de fruits exotiques	418	0	0	24	23	100	0	3.2	1.28			
0000000001328	Chouquettes x 30	657	7.8	21	39	20	157	12	1.5	0.6			
0000000001427	Pain de maïs bio												
0000000001526	Tisane Cassis												
0000000001564	Fromage blanc pêche	410	4.6	3.3	7.6	7.5	98	3.3	0.027	0.0108			
0000000001663	Crème dessert chocolat	0	0	0	0	0	0	0	0	0		0	
0000000001670	Bouillie de sarrasin												
000000000186	Yaourt au chocolat	494	2.7	4.3	17.1	12.7	118	1.2	0.1	0.04			
000000000188	Sablé aux pépites de chocolat	3318	6.8	21.7	66.3	32.1	793	15	0.68	0.272			
0000000001885	Compote de poire	657	0.6	0	36	27	157	0	0	0	3.6		-2
0000000002042	Paëlla de poulet	640	8.3	9.1	9.2	0.9	153	2.5	2.8	1.12			
0000000002103	Aiguillettes de poulet												
0000000002219	Salade shaker chef	301	7	2.2	5.2	1.2	72	0.5	0.18	0.072			
0000000002257	Salade de macedoine de légumes	598	1.9	12.7	3.9	1	143	1	0.27	0.108			1
0000000002264	Baguette Poitevin	866	8.9	6.7	27.5	0.6	207	3.8	0.4	0.16	1.7	0	
0000000002363	Suedois thon	678	9.1	3.7	20.7	3.8	162	1	0.194	0.0776			
0000000002400	Ciabatta Bombay	728	8.9	2.3	29.3	1.4	174	0.4	0.531	0.2124			
0000000002417	Ciabatta Roma	904	12.5	4.5	31.5	1	216	2.1	4.51	1.804			
000000000262	Confiture de lait												
0000000003018	Salade tomate	75	0.9	0.2	2.2	2.1	18	0.1	5	2			
0000000003087	Farine de blé noir												
000000000309	Sel du Chateau												
0000000003384	Mousse chocolat douceur	707	5.8	5.6	22.7	21.6	169	0	0.443	0.1772			
000000000364	Baguette bio au levain								0	0			
0000000003780	Coca des flandres	418	2	2	10	10	100	1	9	3.6			
0000000003803	Brochettes dinde	544	17	7.2	1	1	130	2.4	0.3	0.12			
0000000003827	Suedois saumon	720	8.4	4.4	23.3	4.6	172	1.2	3.58	1.432	2.7	29.6	
0000000004206	Saucisse au chou fumé BBC SV (Morteau)	4033	20	25	1	0.1	964	9.7	2.6	1.04			
000000000429	Jus de Pommes	201	0.2	0.2	12	11	48	0	0.02	0.008			
0000000004299	Crêpes au Kamok	1247	3.4	5.7	58	38	298	3	0.6	0.24			
000000000436	Caramel vanille												
000000000445	Thé blanc de la Reunion												
0000000004510	Salade shaker taboulé	477	3.9	8.1	5.7	1.4	114	0.9	0.31	0.124	1.7	13.6857142857143	
0000000004530	Banana Chips Sweetened (Whole)	2243	3.57	28.57	64.29	14.29	536	28.57	0	0	3.6	25	
0000000004559	Peanuts	1941	17.86	17.86	60.71	17.86	464	0	0.635	0.254	7.1	11.1111111111111	
0000000004565	Sandwich classique fromage												
0000000004572	Pain epeautre	1163	12	1.4	53	1.3	278	0.3	1.8	0.72			
0000000004732	Sandiwch Tradition Complet Jambon												
0000000004794	Fromage blanc à la creme de marron	628	5.1	5.9	18.6	17.4	150	3.7	0.34	0.136	0.6	0	
0000000005	Nectar d'abricot											0	
0000000005005	Abondance	1661	25	33	0.1	0.1	397	21.6	1.3	0.52			14
0000000005081	Salade verte	67	1.3	0.3	1	0.7	16	0.1	18.3	7.32			
0000000005166	cuisse de poulet direct au four curry	824	17	13	3	0.9	197	4	1.1	0.44			4
0000000005241	Bagel	824	8.4	5	28.7	3	197	1.1	0.467	0.1868			0
0000000005272	Sandwich solene céréales sicilien	891	8.1	6.2	30	1.7	213	0.8	5.39	2.156	3.1	60.4	
0000000005388	Brioché poulet caesar	799	8.9	5.1	24.4	2.3	191	1.2	0.4	0.16			
0000000005470	BAguette bressan	669	9.5	2.2	25.2	0.6	160	0.5	0.358	0.1432	1.6	0	-4
0000000005500	Baguette Niçois	812	9.6	5.6	27.7	1.6	194	0.8	0.438	0.1752			
0000000005661	Pavé de saumon fumé à la ficelle	1059	23	17	0.5	0.5	253	2.6	2.5	1			15
0000000007009	Torti au saumon fumé	895	4.2	16	12	2	214	3.5	1.1	0.44			
0000000007160	CORNED BEEF	983	24	15	1	1	235	7.5	2	0.8			17
0000000008204													
000000000861	Le rogallais chèvre brebis												
000000000886	Miel de thym												
0000000009317	Mediterranean Pasta Salad												
000000000936	Monbana	21	2	36	48	40	5	5	1	0.4			
000000000990	Le Jardin des simples								0	0			
0000000009959	pavé de saumon fumé												
000000001011	Fromage blanc fermier de chèvre au lait entier												
0000000010115	Pain fit n fiz	1213	12.6	8.5	37.3	6.5	290	0.96	1.2	0.48			
000000001022	Sirop Bissap Hibiscus												
0000000010313													
000000001071	Thé Oolong Violette	4	0.1	0	0.2	0	1	0	0	0			
0000000010900	Salade fusili poulet curry	318	5.7	1.3	9.4	1	76	0.3	0.134	0.0536			
0000000011150	Baguette Lyonnais &quot;Petit prix&quot;	1213	12.5	4.5	41	2	290	4.5	2.3	0.92			
000000001124	Galettes Bretonnes 300gr - Biscuiterie &quot;le phare&quot;												
0000000011341													
000000001141													
000000001146	Miel de printemps												
000000001149	Sommeil Bio												
0000000011631	Pasta box carbonara												
0000000011686	Pasta box jambon champignion												
0000000012249	Salade Grecque	268	3.7	2.3	1.8	1.4	64	2.3	0.4	0.16			1
0000000012256	Salade penne pesto	477	3.2	4.1	15.4	0.9	114	0.5	0.2	0.08			
0000000012263	Baguette Poitevin	887	9.4	5.8	32	2	212	3.7	1.3	0.52			
000000001231	Rillettes de sanglier au Chouchen	1360	16	29	0	0	325	11	1.6	0.64			21
0000000012775	Bagel Boston	820	9.6	4.1	29.4	3.3	196	1.1	1.5	0.6			
0000000012812	Tarte chocolat												
000000001331	Soupe aux légumes de mon jardin								0	0			
0000000013406	Céleri remoulade	494	1	10	3.3	1.9	118	0.5	1	0.4			
000000001347	Puntazos	1887	5.8	17	66	4.9	451	2.1	2.2	0.88			
0000000013819	Suédois Jambon	787	10.6	4.8	23.1	4.1	188	1.5	1.8	0.72			
0000000014120	Salade fraîcheur 3 fromages												
0000000014250	Salade fraicheur caesar												
0000000014281	salade ibérique												
0000000014519													
0000000014595	Pâte de fruit fraise	1180	0.4	0.1	70	63	282	0.03	0.03	0.012			
000000001511	Bretzels en chocolat au lait												
0000000015172	Solène céréales deux fromages	916	8.7	7.1	29.9	1.9	219	4.3	1.2	0.48			
000000001518	Confiture artisanale de Raphaël	937	0.4	0.1	55	55	224	0	0	0			
0000000015509	Baguette Niçois	812	9.6	5.6	27.7	1.6	194	0.8	1.1	0.44			
0000000015707	8 Buchettes poulet cœur aux figues												
0000000015721	Baguette Gruyère &quot;Petit Prix&quot;	1201	12.3	14	42.9	1.9	287	5.6	1.5	0.6			
000000001576	Pur jus de pomme	925	0.5	0.5	0.01	0.01	221	0.1	0.01	0.004			0
0000000015769	Salade primeur	305	2.8	3.7	6.6	1.9	73	0.5	1.166	0.4664			
0000000016087	Organic Salted Nut Mix	2540	17.86	57.14	17.86	3.57	607	5.36	1.22428	0.489712	7.1	20	
0000000016094	Organic Polenta	1552	8.57	1.43	77.14		371				5.7	0	
0000000016100	Breadshop Honey Gone Nuts Granola	1933	13.46	18.27	63.46	11.54	462	1.92			7.7	0	
0000000016117	Organic Long Grain White Rice	1490	8.89		80		356					0	
0000000016124	Organic Muesli	1833	14.06	18.75	57.81	15.62	438	4.69	0.1397	0.05588	9.4	0	
0000000016193	Organic Dark Chocolate Minis	2406	5	37.5	55	42.5	575	22.5			7.5	0	
0000000016513	Organic Sunflower Oil	3586		100			857	7.14				0	
