code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
0000936013129	Beignets à l'abricot	1314	6.7	9.6	50	20	314	1.4	0.72	0.288			11
000093906	High protein flapjack mix original	1565	35.6	6.9	37.4	6.9	374	2.65	0.23	0.092			
0000939333330	creme fraiche	1490	3.57	39.3	3.57	3.57	357	25	0.0907	0.0363		0	14
0000939474026	Chips de banane	2151	1.89999997615814	29	58	18	514	27					
0000942692875	Nut mix	2992	18.1000003814697	68.9000015258789	2.90000009536743	2.09999990463257	715	7.5					
0000943020004	Caramel caffe latte shake	1609	57.692307692308	5.7692307692308	26.923076923077	15.384615384615	384.61538461538	0	0.76923076923077	0.307692307692308	0		
00009447	Poulet cuit fumé												
0000946001154	White granulated sugar	1569	0	0	100	100	375	0	0	0	0	0	14
0000946002120	Creamy potato soup mix	1841	8	16	66	6	440	8	1.75	0.7	4	0	16
0000946002915	Chicken boullion	1046	0	0	50	0	250	0	50	20	0	0	13
0000946003127	Powder - Cheese Blend	151	15	7.5	60	33	36	4.41	6.03	2.412	0.7	0	21
0000946004964	Iodized salt	0	0	0	0	0	0	0	98.75	39.5	0	0	10
0000946111020	Honey coated banana slices	2293	0	35.71	42.86	28.57	548	33.33	0	0	4.8	16.6666666666667	17
0000946111099	Freeze-dried sliced strawberries	1464	10	0	50	50	350	0	0	0	20	100	-1
0000946111105	Dehydrated potato dices	1556	6.98	0	83.72	4.65	372	0	0.175	0.07	7	0	-4
0000946111136	Dehydrated potato flakes	1456	8.7	0	82.61	4.35	348	0	0	0	8.7	0	-6
0000946111204	Dehydrated potato shreds	1485	6.45	0	77.42	3.23	355	0	3.63	1.452	6.5	0	9
0000946111501	Freeze dried pineapple chunks	1674	0	0	90	80	400	0	0	0	10	100	4
0000946130007	Brown sugar	1393	0	0	100	100	333	0	0	0	0	0	14
0000946400209	Shortening powder	2987	0	71.43	14.29	0	714	35.71	0.535	0.214	0	0	20
0000946400247	Brownie mix	1611	7.69	3.85	82.05	46.15	385	0	0.9625	0.385	2.6	0	
0000946500572	Drink mix	1611	0	0	96.15	92.31	385	0	0	0	0	0	
0000946701306	Vegetarian meat substitute	1448	42.31	15.38	26.92	7.69	346	1.92	4.615	1.846	11.5	0	11
0000946701504	Vegetarian meat substitute bits	1255	40	10	20	0	300	0	5.75	2.3	20	0	8
0000946701573	Vegetarian meat substitute	1448	42.31	11.54	26.92	7.69	346	0	5.2875	2.115	15.4	0	10
0000946706004	Dehydrated apple slices	1477	0	0	94.12	52.94	353	0	0.955	0.382	11.8	50	12
0000946800504	Honey cornbread muffin mix	1695	8.11	13.51	64.86	24.32	405	2.7	1.6225	0.649	2.7	0	17
0000946801211	Pancake mix	1423	10	1	72	10	340	0	3.35	1.34	2	0	
0000946803116	Bread, scone & roll mix	1523	12.12	4.55	69.7	6.06	364	0	2.045	0.818	3	0	11
0000946804106	Biscuit mix	1795	11.9	16.67	54.76	4.76	429	3.57	1.4875	0.595	7.1	0	
000094687	Chocolate Protein bites Milk Chocolate	2105	30	28	30	27	503	17	0.51	0.204			
0000946901539	Creamy wheat cereal	1506	12	0	78	0	360	0	0	0	2	0	-3
0000946901614	Dried egg product whole eggs	2251	46.15	38.46	0	0	538	11.54	1.73	0.692	0	0	23
0000946903632	Butter Powder	2929	0	70	20	20	700	40	1.5	0.6	0		
0000946906206	Powder -Nonfat dry milk	1393	33.33	0	52.38	47.62	333	0	1.37	0.548	0	0	20
0000946906466	Soup mix	1728	8.7	15.22	60.87	17.39	413	8.7	5.325	2.13	2.2	0	24
0000946908293	Cream of chicken soup mix	1820	2.17	21.74	60.87	4.35	435	10.87	4.675	1.87	0	0	25
0000946909016	Low fat milk alternative	1724	17.65	14.71	47.06	5.88	412	11.76	1.6175	0.647	0	0	23
0000946909023	Chocolate morning moo's	1674	5.71	10	74.29	60	400	10	1.215	0.486	2.9	0	25
0000946909078	Augason Farms, Vital Wheat Gluten	1393	66.67	0	0	0	333	0	0	0	0	0	-1
000095000293191122	Tajine Vegetariana	1172	8.4	8.8	39	11	280	1.3	1.1	0.44	5.7		
000095442	Whey protein balls	1941	20	18.299999237061	53.200000762939	40	464	11.5	0.18999999761581	0.075999999046324			
0000954498762	Steamed Chicken Soup Dumplings	615	9.41176470588235	4.11764705882353	17.0588235294118	1.76470588235294	147.058823529412	0.882352941176471			0.588235294117647		
00009645	Provola Typical Crotonese	1292	21	23	3.8	3.8	311	21	1.5	0.6	0	0	14
00009652	La poule cuite et fumé	703	24	7.5	1.1	1.1	168	2	23	9.2			
000096799	Chia seeds	1824	20	31	2	0	436	3	0	0			
0000974008217	Aceite Español	3626	0	93.333333333333	0	0	866.66666666667	13.333333333333	0	0			
0000974300144	La pedriza, caperberries in vinegar	75	0	0	3.57		18		3.66	1.464		0	
000097555846													
000097738	Bulk powders	1494	83	1.8500000238419	3.4000000953674	2.2599999904633	357	1.2999999523163	0.30500000715256	0.122000002861024			
000097871	Chia seeds	456	5	7.75	0.5	0	109	0.75	0	0			-2
0000980000212	Saumon fumé gravlaks plat traiteur												
00009800800056	Hazelnut Spread + Breadsticks	2171	7.69	26.92	65.38	44.23	519	9.62	0.635	0.254	3.8	0	
00009800892204	Hazelnut Spread With Cocoa	2264	5.41	32.43	62.16	56.76	541	10.81	0.10414	0.041656	2.7	0	
000098175	Protein Pancake Mix Maple	1531	72	2.2999999523163	13.800000190735	1.7999999523163	366	0.5	1	0.4			
00009843	Pain sportif												
00009904	Velouté à la châtaigne	753	2.4	1.1	39.8	2.4	180	0.2	0.4	0.16			
0000992800947	Nougat	2088	12	27	53	50	499	3.70000004768372			5.90000009536743		
000099484	Pancake protéine	1531	72	2.29999995231628	13.8000001907349	1.79999995231628	366	0.5			1.5		
0000996284712	La Eur, 3 Milk Soft Ripened Cheese	1180	12.86	24.64	1.79		282	18.21	1	0.4		0	
000099659	4life transfer factor												
000099833	Proteine in polvere All in one	1013	58	3	34.099998474121	20.39999961853	242	2.5	0.5	0.2			
0000999999019	Flamiche maroilles chorizo poivrons	1067	11.8	14.5	21.2	1.6	255	8	0.9	0.36			13
0001	Hackfleisch - Highland Beef	791	11	6.2	22	10	189	1	11.5	4.6			14
000100	Lavender Creamed Local Honey					0		0					
0001000001127													
0001000001189	Maisciocchi	1791	4.8	28.4	40.8	39.6	428	16.8	0	0	0		
0001000001271	Parpagnacchi al monococco	1778	9.9	17	56	19	425	9.3	0.71	0.284			
0001000004005	Crème de marrons												
0001000005415	cioppini	1197	11.02	5.43	51.84	4.2	286	0.46					
000100000724	Le pop corn de Jeff de Bruges	2226	5.68	30.28	59.12	37.72	532	19.3	0.27	0.108			
0001000008218	Pates Langue d'oiseau												
0001000008706	Huile d'olive Monini												
0001000093511	miche blanche	1004	8	1	46	0	240	0	0.675	0.27			
00010001	Creme de legume	1448	57.6923076923077	3.84615384615385	23.0769230769231	3.84615384615385	346.153846153846	0.769230780693201			3.84615384615385		
0001000720691	Reduced fat milk	227	3.3333333333333	2.0833333333333	5	5	54.166666666667	1.25	0.13541666666667	0.054166666666668	0		
00010009	Émincés de dinde marinés cuits saveur kebab	669	23	7	0.9	0.9	160	2.3	1.6	0.64		0	5
00010016	Chipolatas	3899	15.5	17.799999237061	0.60000002384186	0.60000002384186	932	7.1999998092651	1.6900000572205	0.6760000228882			24
0001002420124	Lulu l’ourson	1632	5	15.3333330154419	60	30.3333346048991	390	2.99999992052714			1.66666666666667		
00010040	Jambon de Paris	490	21.8	3	0.6	0.6	117	1.2	1.41	0.564			
0001005945761	Lomo de cebo iberico	983	39	10	0.5	0.5	235	4.1999998092651	3.2000000476837	1.28000001907348			
0001006530676	Ajo picado Del Monte	0	0	0	0	0		0	0.593	0.237	0	0	2
0001007009188	Pain special au céréales												
000100755	Complete diet protein smoothie advanced strawberry	1536	67.2	8	6.5	6	367	3	0.6700000166893	0.26800000667572	0.99		3
0001008704914	7655												
00010092	Gummi sharks												
000100981	Farine de coco	1619	18	17	26	23	387	16	0.10000000149012	0.040000000596048			
00010103	Rillettes de canard												
00010108	Cotes Echine												
0001011002007	Nutritional Shake Mix	1577	36	10	21	18	377	1.7	1.3	0.52			
000101102	Proteine whey	1745	77.199996948242	7.5	7.8000001907349	7.8000001907349	417	5	0.375	0.15			11
00010160													
000101600007060222	Spaghetti nero di seppia, zucca e mazzancolle	602	6.6	5.1	18	1.6	144	0.7	0.69	0.276	0		
0001017001004	Nero buono												
00010177	Saucisse	854	16.6	14.3	2.3	0.4	204	5.8	1.87	0.748			
00010191	Caramel Topping												
00010214	Brownie Trufa Sin Lactosa	941	15.5	17.8	0.6	0.6	225	7.2	1.69	0.676			
000102324	Pure Whey Protein Salted Caramel							0					
000102500034200322	Biscotri	1745	7.7	20	51	21	417	10			0.9		
000102540	High protein dessert	1540	75	3.84	8.5	4.2	368	1.49	2	0.8			
0001026085439	Miel de fleurs du bugey												
00010276	Chipolates	230	21.5	5	0	0	55	2.3	0.2	0.08			
00010283	Salt 1.5kg												
000103	Complete Original pancake and Waffle mix	1569	7.8125	5.46875	71.875	14.0625	375	3.125	2.5	1	1.5625		
0001031595022	Aceite de coco	418	100	0	0	0	100	0	0	0	10		
00010320	Merguez véritables	1092	13.9	21.4	3.3	1.3	261	9.9	2.04	0.816			
00010351	Couronne Lorraine	724	17	12	0.5	0.5	173	4.7	2.1	0.84			
0001037514355	SODIUM BICARBONATE FOOD GRADE	93	0.142	0.331	5.36	1.91		0.106	21.8	8.72	0		
000104	30 Panach' Fruits	1724	5	18	57	31	412	2	0.63	0.252	1	125.8	5
0001040088508	Basmati rice	795	4		42		190				1		
00010429	Beurre de fromagerie												
000104556	Complete Protein Blend	228	11.6	0.6	0.4	0.4	54.5	0.3	0.1	0.04			
00010474	Pasta box carbonara	1336	11.59	13.8	36.17	3.14	319.3	7	0.53	0.212	1.61		
000104881	Complete diet protein smoothie advanced strawberry	1536	67.2	8	6.5	6	367	3	0.6700000166893	0.26800000667572	0.99		
00010498	Burger USA	874	9.9	8.3	22.6	3.2	209	3	1.2	0.48	2.1	0	2
0001050000002	Lúcuma												
000105233	Proteine dietetiche	6276	67.199996948242	8	6.5	6	1500	3	0.67	0.268			
00010528	Miel cremosa							0					
00010542	The noir ananas, cannelle et gigembre												
00010559	Puy du fou- Mystère de la Pérouse	4	0.1	0	0.2	0	1	0	0	0			
00010566	Jus de Poire fermier												
000105712	Whey Fraise	1745	76.300003051758	7	8.6999998092651	8.6999998092651	417	5	0.37099999189377	0.148399996757508			11
00010573	Pur jus de poire												
0001060000009	Mezcla de 5 semillas y goji	2134	19.38	38.34	14.19	3.1633334	510	3.29	0.04	0.016			4
0001062008539	Pain au seigle												
00010641	Sirop de citron												
00010665	Golden  Apples												
0001069051606	Ragu alla bolognese	983	10	20	3	0	235	5.7	0.9	0.36			5
000107	Bijou												
0001070000006	Sirope de Agave Azul	1674	0.1	0.4	99.3	96.5	400	0	0.01	0.004			14
00010702	Large Brown Grade A Eggs	883	3.3333	12.2222	22.7778	14.4444	211.1111	7.2222	0.486111	0.1944444		0	
000107255	Farine de coco	1619	18	17	26	23	387	16	0.1	0.04			
000107535	Mugcake  mj - Bulkpowder	974	8	9.42857142857143	25.7142857142857	2.5	232.857142857143	0.560000002384186			2.64285714285714		
00010757	chocolate bunny Grahams											0	
000107572	Cacao Protein Brownie Mix Chocolate	1502	35.380001068115	4.5500001907349	38.450000762939	7	359	2.2000000476837	0.30000001192093	0.120000004768372			
00010764	72% CACAO Dark Chocolate	2027	7.8125	40.625	48.4375	28.125	484.375	25	0	0	12.5		
00010795	Heritage white chocolate	1962	32	21	38	0	469	13	0.2	0.08			
000108138	Complete breakfast smoothie blueberry & raspberry	1485	39.166666666667	6.2333333492278	32.866665522257	9.1333333651225	355	0.63333332538605	0.1	0.04	5.63		
000108155	Bulk Powders Chocolate Whey Protein											0	
000108311	Pure whey isolate - vanilla	1598	87	2	4	4	382	0.06	0.5	0.2			1
000108318	Vitamina c polvere												
000108357	Dried cranberries	803	0.02	0.21	12.3	9.8	192	0.02	1.2	0.48			
000108413	Bulk Powders	1745	76.3	7.5	8.7	8.7	417	5	0.371	0.1484	0.4		
0001086000007	Colomba artigianale	1544	7.4	13.9	52	32.5	369	8.4			3		
000108624	Pure Whey Protein Salted Caramel	1743	76.333332061767	8.3333333333333	8.6666663487753	8.6666663487753	416.66666666667	5	1.8000000715256	0.72000002861024			
000108780106	Porridge To go											0	
000108830	Brown Rice Protein 80% Unflavoured	1660	80	3.3333333333333	3.7999999523163	0	396.66666666667	1.1000000437101					
0001089051525	Pesto alla genovese	2289	7	55	5	0.4	547	9.9	1.9	0.76			23
00010894	Organic tomatoes, diced in tomato juice	96	0.77	0	4.62	3.08	23	0	0.3275	0.131	0.8	20	1
